link,title,Description,Category
U8X-fd_zQQ,"12 Cool Science Tricks That Will Make Your Friends Go ""Omg! How?"" DIY Tricks & Life Hacks by Blossom","Impress your friends this weekend with these 12 cool science tricks! Which one is your favorite? Tell us in the comments below! For more science tricks, DIY ideas, and life hacks subscribe to Blossom! https://www.youtube.com/channel/UC2Wu...",Science
VoLZXXQL-YY,9 Incredible Science Facts You Probably Didn't Learn At School,"Common scientific facts you won't believe are real

How well did you perform at school? Were you among the best students or in the outsiders team? It doesn't really matter, because they probably didn't teach these science facts at school. Be ready to be amazed!

Timestamps:",Science
DZcofvSqLHI,5 Amazing Experiments With Hand Sanitizer || Easy Science Experiments With Sanitizer,"5 Simple Science Experiments With Hand Sanitizer

Hello Guys,
Welcome To Our Channel
This Video Is About - 
Sanitizer
Hand sanitizer
Experiment with hand sanitizer
Lifebuoy sanitizer
Science experiments
Easy science experiments
Experiment
Sanitizer experiment
Easy experiments
Home experiments
Simple science experiments
Science fair projects
Science working project
Bottle experiment
Fire experiment
Hope You Like This Video.
*To Get More Interesting Videos Regularly Subscribe Now and Hit The Bell Icon.
Thank You.


Attention!
  This video is intended for scientific and entertaining purposes only. All action in this 
  video performed by professionals and in safe place with full safety equipment's.
  We highly recommend that please don't try to repeat any actions shown in this 
  video. It can be dangerous. The author will not be hold liable for any action 
   performed by you.

______________________________________________
Gears We Use -

Camera          :-   ",Science
OY6RgrDKQ,18 EASY SCHOOL MAGIC TRICKS AND SCIENCE EXPERIMENTS,"UNEXPECTED TRICKS AND IDEAS FOR KIDS

There are so many science tricks that you can perform at home without any problem! All you need is your hands and a few very affordable materials. Congratulations, you cna run your homemade science show and surprise your family members and friends! You can also use these tricks for your school project ideas.

For example, do you know how to get electricity out of a potato? If the answer was no, we are here to tell you how! You can also get electricty out of soda drinks.

Another amazing block of ideas is connected with batteries. For example, you can make a copper wire carousel out of a battery and a piece of wire. Another awesome idea that may come in handy at the most unexpected moment is charging phones using batteries – check out our DIY science tutorial for kids and learn how to do that. 

It's getting colder – you can make a portbale hand heater using a battery wrapped with a piece of foil. Another awesome (but you'll need supervision of your parents for this trick) is made with a battery and a couple of needles. 

Check out our cool magic tricks with magnets – flying objects, spinning copper wire hoop, a rolling battery, a racing battery inside a copper spring, a water compass. You can make a lot of things using magnets. You can even make things levitate! Don't you believe me? Watch this video till the end and see yourself!

Watch this video up to the end and see awesome tricks with balloons, candles, and what not!

TIMESTAMPS:",Science
i_2PtL7cRyE,विज्ञान के सबसे घातक प्रयोग Terrible Science Experiments ever Conducted part #2 in Hindi,"mYTH Tv India
#MTI7",Science
lkgi1rxUF,top 10 questions science can't answer _ in hindi,"HELLO DOSTO SWAGAT HAI HAMARE CHENNAL 7 ME _ 10 AISE SAWAL JINKA SCIENCE PAAS KOI JAWAB NAHI HAI _ AAJ HUM IS VIDEO ME UNHI SAWALON PE NAZAR DALEN GE _ TOH DEKH TE REHI YE Video Humare channel ko subscribe karna please, hum isme regular {top 5)(top 10) se related videos upload kar te rahe te hai  aur intresting jankari dalte rahenge,  stay tunef (channel 7)",Science
jyW5ZP2a0,✳️3 Amazing Science Experiments In Hindi,"This video shows amazing light reflections using plane mirrors. Enjoy this video and like it.






Track: CØDE - Itro & Tobu - Cloud 9 [NCS Release]]
Music provided by NoCopyrightSounds.
Watch: ",Science
l9o33uBi40U,Amazing Science Toys/Gadgets 1,"NEW VIDEO 😱➡️ https://youtu.be/GpY3WSB0jbs

📭 Submit videos to: MindblowingSubmissions@gmail.com
➡️ Follow me on Instagram: ",Science
z-R3DShHbkA,EASY SCIENCE EXPERIMENTS FOR KIDS,"EASY SCIENCE EXPERIMENTS FOR KIDS Awesome and Amazing! They are very easy to do at HOME, at SCHOOL, You can show super cool magic with these experiments that will amaze your kids.",Science
zopTRZzh-Y,20 Amazing Science Experiments and Optical Illusions! Compilation,"This video is a compilation of Best 20 science experiments with liquid and fire 2017

00:02 Flammable hand sanitizer",Science
1bxc7CddeU,Science Can't Explain What They Caught In The Sky!,"Description:
 
Every now and again things happen in this world that really don’t come with area, valid explanation. And sometimes we even try to make sense of things that we see by defining it with a logic that fits what makes us comfortable, when we really have absolutely no idea what we’re talking about haha. Welcome back to The Supreme, my name is Matty Willz and today’s episode is called Science Can’t Explain What They Caught in the Sky! 

For Copyright Issues, Please Feel Free to E-mail me: Top5Supreme@Hotmail.com",Science
CShD-DguP3I,Easy Science Experiments You Can Try At Home.,"Timestamps

00:25 Easy trick with a toy and orbeez",Science
ZDS6pWuWJk4,10 Mysterious Event That Will Make You Question Reality!,"Description:

We are living in an enlightened age. There has never been a better time in history for humans; with science and technology we’re able to understand our surroundings better than ever. However, every so often something will happen that will totally stump us. Sometimes something so strange will happen that we will question everything we know. Today’s video is the Top 10 Mysterious Events That Will Make You Question Reality! If anyone has an explanation for these goings on, then go ahead and let us know! 

For Copyright Issues, Please Feel Free to E-mail me: Top5Supreme@Hotmail.com",Science
PXHczjOg06,"Boaz Almog ""levitates"" a superconductor","http://www.ted.com How can a super-thin, three-inch disk levitate something 70,000 times its own weight? In a riveting, futuristic demonstration, Boaz Almog shows how a phenomenon known as quantum locking allows a superconductor disk to float over a magnetic rail -- completely frictionlessly and with zero energy loss.

TEDTalks is a daily video podcast of the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes. Featured speakers have included Al Gore on climate change, Philippe Starck on design, Jill Bolte Taylor on observing her own stroke, Nicholas Negroponte on One Laptop per Child, Jane Goodall on chimpanzees, Bill Gates on malaria and mosquitoes, Pattie Maes on the ""Sixth Sense"" wearable tech, and ""Lost"" producer JJ Abrams on the allure of mystery. TED stands for Technology, Entertainment, Design, and TEDTalks cover these topics as well as science, business, development and the arts. Closed captions and translated subtitles in a variety of languages are now available on TED.com, at ",Science
QYTMsxc0hZM,11 Easy Science Experiments To Do At Home,"11 Amazing Home Science Experiments That Blow Your Mind
Hello Guys,
Welcome To Our Channel
This Video Is About - 
       Experiment
       Science experiment
       easy science experiments
       science experiments at home
       simple experiments
       easy experiments
       experiments to do at home
       home experiments
       science fair projects
       school science experiments
       easy science project
       school science project
       balloon experiment
       science working project
       Science experiment with water
       Bottle experiment
       Candle experiment
       Glass experiment
Hope You Like This Video.
*To Get More Interesting Videos Regularly Subscribe Now and Hit The Bell Icon.
Thank You.

Attention!
  This video is intended for scientific and entertaining purposes only. All action in this video    
  performed by professionals and in safe place with full safety equipment's.
  We highly recommend that please don't try to repeat any actions shown in this video. It can be 
  dangerous. The author will not be hold liable for any action performed by you.
_____________________________________________
Gears We Use -

Camera          :-   ",Science
QUEly4kP,free energy generator device with magnet & dc motor _ science experiment at home,"free energy generator device with magnet & dc motor _ science experiment at home, for more information, visit our Site: https://www.multiworldknowledge.com/",Science
ViZNgU-Yt-Y,9 Awesome Science Tricks Using Static Electricity!,Add me on Facebook. (click the LIKE button on Facebook to add me) http://www.facebook.com/brusspup,Science
0xk4PnACf,साइंस की 10 खोज जिनके आगे भगवान भी फ़ैल हैं. science top 10 amazing discoveries.,"in this video we will tell about top 10 science inventions will will amaze you and you couldn't believe. science did a lot of wonderful discoveries. because of science unbelievable things happening around us, for example. a man gave birth to baby, a girl became a boy, two female mice got puppies. if you want to know all science unbelievable discoveries then watch full video.",Science
6Dt7DXL4VV,Easy DIY Science Experiments for kids to do at home 1hr learning!!!,"Easy DIY Science Experiments for kids to do at home 1hr learning and playing activities for the whole family!! Ryan's World fun top 10 kids science experiments like baking soda and vinegar, iron in cereal, mentor and coke, and lots more!!!",Science
xDyJkFehDk0,How To Levitate | The Edge of Science,"Is levitation possible? YouTube Originals and BBC Studios bring you The Edge of Science, a scientific dive into the outer reaches of our understanding. Follow host and science enthusiast, Rick Edwards as he taps into the scientific community of YouTube to help him fulfill a lifetime's ambition - to levitate himself.  Physics girl (Dianna Cowern) and science inventor, Colin Furze, join Rick and together, they will experiment their way into getting Rick off the ground, by physics alone. Can they do it?

Love learning on YouTube? Check out YouTube's new and improved learning hub (youtube.com/learning) for everything from well-being to history to how tos and all of the things in between. You'll also find more great YouTube Originals content full of your favourite YouTube Creators.

This is a commercial channel from BBC Studios. Service & Feedback ",Science
khjdheYDhi,12 Most Mysterious Things Science Still Can't Explain,"Subscribe ► http://goo.gl/WPKt5w

There's a lot we can tell about an ancient building through archaeology and scientific research. We can tell when it was built, and usually how it was built, too. We might even be able to get an idea of what it was used for, but we can't always get all of the answers. Every structure you're about to see in this list is an outstanding feat of ancient construction, and although we know a little about all of them, we're still left with more questions than answers.

For all questions contact us at: amazingstockchannel@gmail.com",Science
dgOLqHero24,DETAILED SYLLABUS REDUCTION -SCIENCE NEW LATEST SYLLABUS -AS PER 2021 BOARDS CLASS 10 CBSE,"DETAILED SYLLABUS REDUCTION -SCIENCE NEW LATEST SYLLABUS -AS PER 2021 BOARDS  CLASS 10 CBSE , NEW VIDEO, WHICH ALL CHAPTERS AND TOPICS ARE DELETED BY CBSE IN 2021 BOARD EXAMS FOR CLASS 10 CBSE, LATEST DETAILED VIDEO
Complete Detail Explanation In Simple Words. BEST EXPLANATION IN 1 SHOT BY BEST TEACHERS OF INDIA

Here at EduMantra Our Focus Is To Provide Best Quality Education To All Students From India And Across The Globe.
------------------------------------------------------------------------------------------------------------
For study material, handwritten notes, Doubt sessions, live quizes, live lectures, exam time support call 9818434684 - DOWNLOAD EDUMANTRA LEARNING APP OR VISIT www.sanjivsir.com
or call 9818434684

FOR UPDATES JOIN US ON TELEGRAM GROUP:
EDUMANSCLUB
 ",Science
QLLpkUkgOk,A Black Hole That Broke the Science,"This year, on April 10th, scientists were finally able to do the unthinkable: they allowed humanity to look straight into the abyss of a super-massive black hole and take a photo like a tourist attraction! But even after these accomplishments, we still don’t know much about black holes at all, since one of them has challenged the whole scientific community with new impossible feats. 

In the middle of July 2019, black holes puzzled astronomers once again. New observations were made possible, thanks to the famed Hubble telescope, by a team of European scientists. Their study showed that a relatively small black hole contradicts all our expectations by almost completely mimicking its much bigger siblings. 

Other videos you might like:
A Mysterious Object Punched a Hole in the Milky Way, Scientists Are Confused ",Science
iTVkCy7DwA,What is Science? | Introduction To Science | Letstute,"Hello Friends,
    Checkout our video on ""Introduction to Science""

In this Video you will Learn What is Science
We see a lot of events happening around us everyday.
There has to be a logical explanation for every one of those right ?
Well that's what SCIENCE is all about.

Join us in this session as we try to make SCIENCE easy for you.

Check out our interesting video on "" What is Science?"" 

Checkout our online courses on Science Class 6th to 10th :-",Science
inQ06YzbJI,10 Amazing Science Experiments! Compilation,"This video is a compilation of 10 cool science experiments.

0:00  Jet engine in a jar",Science
